mol,smiles,fingerprint
mol1,C12=C(C3C=CC(=CC=3)Cl)C=NN1C(=C(C1C=CC=CC=1)C(C)=N2)N,0000000000000000000000000000000001000000000100100000000000000000100000000000000000000000000010000000000010000000000000000000000000000000100000000001000000000000000000000000000100000000000000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100010001000000000000000001000000000010000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000001000100000000000100000000000000000010000001000001000000000000000000000000010000000000000000100000001001000000000100000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000001000000000000000000000000000000000000000000000010000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
mol2,C(COC1=CC=C(C=C1C)Br)(=O)N/N=C(\C)/CC(NCC)=O,0000000000000000000000000000000001000000010000000000000000000000000000000000000010000000000000100000000000000000000000000000000010000100000000000000000000000000000100000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000010000000000001000010000000000000001000000000000000010000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000010000000000000000000000000000001000000000000010010101000000000000000000000011010000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000000000000000010000000000000001000000000000000000000000000000000000100000000000000000000000000000000010000000100000000100000000000000000001000000
mol3,C(=O)(NC1=CC=C(C=C1)OCCCC)C1CC1,0000000000100100000000000000000001000000000000000000010000000000000000000000000010000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000001000000100000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000010000000000000000000000100000001000000000000000000000000000000000000000000000000000000000010000001010000000000001000000000000000000000000000000000001000001000000000000000000000000000000000000010000010000100000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000
mol4,N(=O)(=O)C1C=C(C=C(C=1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)N(C)C,0000000000000000000000000100000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000001000000000000000000000000000000100000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000001000000000000000000100000000000000000000000000000000110000100100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000100000000000000000110000000001000000000100100000011000000000010000000000000001000000000000000000000000000000010000000000000000000001000000000000000000000010000000100000000001000000000000001010000000010000110000000000010000000000000000000000000000000000000000000001000000000000000010001000000000000000000000000000000000000000000100000100000000000000
mol5,N1(C2C=CC(=CC=2)C(C)C)CC(CC1=O)C(=O)NC1C=C(Cl)C=C(Cl)C=1,0100000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000100000000010000000010000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000100001000000000000001010000000000000000000000000000010000000000000000000100000000000000000000000000000010000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000100000000000000000001000000000000000000000000000000010000000010000000000000000000000000000010000000000000000000000000000000001001000000000000100000000000000000000000000000000000000001000010000001000001001000001000000000000010000000100000000000000000001000000000000000000000000010000000000000000010000000000000000000000000000000010000000010000000000001000000000000000000000000010000000000000000000000000000000000000000000010000
mol6,C(=O)(OC1C=CC(=CC=1)/C=N/C1=CC=C(C=C1)N(C)C)C1C=CC=CC=1Cl,0000000000000000000000000100000001000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000100000000000000000000000000000000110000000001000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000001000000010000000010000000000000000100000000000000000110000000001000000000000100000011000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000001000000000000001010000000000000110000000000010000000000000000000000000000000000000000000000000000000000000010001000000100000010000000000000000000000000000100000100000000000000
mol7,C1(N)N(C2=CC=CC=C2)N=CC=1C(O)=O,0000000000000000000000010100000000000000000100000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000010000000000000000000000000010000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000001000000100000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000001000000000000000000001000000000000010000000000000000000000000000010000000000000000000000000000000000000000010000000000000001000000000000000100000000000000000000000000000000000000000000000000000000
mol8,C(=O)(N/N=C/C1C=CC(=C(OCC)C=1)OCCC)C(=O)NC1=CC=CC(OC)=C1,0000000000000101000000000100000001000000000000000000000000000000100000000000100110000000000000100000000000000000000000000000000010010000000000000000000000000000000000000000000000000000101000010000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000001000000001000100000000000000000000000000000010010000000000000000000000000000010000000000000000000000001000000000000010010000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000110000000100000000000000000000011000000000000000000011000000000000000000000000000000000100000000001010000000001001000000000000000000000000000000000101000001000000000000001000001000010000000000000000010000000000000000000000000000001000000000000000000000101000000000000000000000000000000000000000000000000000000000000100000000000000
mol9,C1(C(OCC)=O)C(C2C=CC(=CC=2)C)C2C(=O)CC(CC=2OC=1N)(C)C,0000000000000000000000000000000001001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000101010000000000000000000000000000000000000000000000000000000000000000100100000000000000000100000000000000100001000000000000000000000100000000000000001001000000000000001010000000000000000000000000000000000000000010000000000000000000000000000000000100010000000000000010000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000010010000000000000000000000000001000100000100000000000000100000001000000000000000000010000001000000000000100000001000000000000000000000000000000000000000001000000010000000000000000000000000000000000010010000000000000000000000000000010000000000000100000000000000000000100000000000000000000000000000000000010000000000010000000010000
mol10,C(=O)(N/N=C\C1=CC=C(C=C1OCC1C=CC=CC=1)OCC1C=CC=CC=1)C1=CC=C(C=C1)OCCCCCCCC,0000000000100100000000000000000001000000001000000000000000000000100000000100000010000000000000000000001000010000000000010000000010000000000000000000000000000000000000000000000100000000000000000000000001100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000100000000000000000000000000000000010000100000000000000000000000010010000000000000000000000000000001000000010000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000010000000010001000000000000000000100000000000000000000110000000010000000000000100000011000100000000000000100000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000001000001000000000000001010000000010000000000010000010000000000000000000000000000001000000000000000000000100000000000000100000010000000000000000000000000000000000000000000000000100000
