mol,smiles,fingerprint
mol251,C1(=CC=CC=C1Br)C(=O)NNC(=S)NC1C=CC=C(C)C=1C,0000000000000001000000000000000101000000000000000000000001000000100000000000000000000000000000000100000000000010000000000000000010000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000010100000000000000000000000000000000000000000010100000000001000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000010000000000000000000001000000000000000000000000010000000000000000000000001001010000000000000100100000000000000000000000000000000000000000000001000000000000001000000000000000000000000010000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000001000000000000000000000000100000001000000000000000000000000000000000000000000000000
mol252,N1(C2C=C(Cl)C=C(Cl)C=2)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O,0000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000010010000000000000000000000000000000000000000000000000000000000001001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000001000000000000000001000000000000000000000000010001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000
mol253,C(=S)(NC1C=CC=CC=1)NC(C)C1=CC=CC=C1,0100000000000000000000000000000001000000000000000000010000000000100000000000000000000000000000000100000000000010000001000000000010000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000010000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
mol254,C1(SCC(=O)N2CCN(CC2)C2=CC=CC=C2)SC2=C(C=CC(N)=C2)N=1,0000000000000000000000000100000000000000000000000000000000000000100000000100000010000000000000000000000000000000000010000000000000000000000000001001000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000010000000000000010000000000000000000001001000000010000000000000000010010000000000000000000000100000000000000000000001000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000001010010000000000000000000000001000000000001000000000000000000000000000000000000001000000000000000000000000001000000100000000000000000000000000000000000000001000001000000000000000000000001000000000000000001000000000000000000000000010000000001001000010000000000000000000000000000000010000000010001000000000000000000000100000000000000000000000100000000000001000000010100000000000000
mol255,C(=O)(NN=CC1=CC=C2C(C=CC=C2)=C1)C(C1=CC=CC=C1)C1C=CC=CC=1,0100000000000100000000100100000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010001000100000000000000000010000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000011000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000001000000000001000001000000000000001000000000010000000000000000010000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000
mol256,C(N(C)C)(=S)OC1=CC=CC(=C1)C(=O)NC1=CC=CC(Br)=C1,0000000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000000100000000000010000000000000000010000000001100000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000001000000000100000000000000000000000000001000000100000000000000000000000000000000000000000000100000000000000000000010000001000000000000010000000000000000000000000000000000000000000010000000101000000000000000000001010000000000000000000000000000000000000100001000000000000000000001000000000000001000000000000000000000000000000000000000001000000000100000000000000010000010000000000010000000000000001000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000
mol257,C1(C(=O)NC2C=CC=C(C=2)C(OCC)=O)=C(Cl)C2=C(C=CC=C2)S1,0000000000000001000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000101000000000000001000000000000100000000100000010000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000001000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000100000000001000011000000000001000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000001000000000000000000010010000100000000000000001000001000000000000000000000000000000001000000000000000000000100000000001000000000000001000000000000000010000000000000000000000001000000000000000000000000010000000001000000010000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000001000000000000
mol258,N1(C2C=CC=C(Cl)C=2)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O,0000000000000001000100000100000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000010010000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000001000000000000000001000000000000000000000000010001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000
mol259,C1(C=CC(=CC=1OC)OC)C(=O)NC1=CC=C(C=C1)C#N,0000000000000000000000000000000001100000000000000000010000000000000100000000000000000000000000000000001000000000100000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000010001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000010000000000000000000010000000000000000000000100000001000000000000000000000000000000000000000000000000000000100000000101000000000000001000000000000000000000000000000000101000101000000000000000000000000010000000000000000010000000000000000000000000000000000001000000000000000101000001000000000000100000000000000000000000000000000000000000000000000000000
mol260,C1(Cl)C(C)=CC=C(C=1)NC(CSCC1C=CC=CC=1Cl)=O,0000000000000000000100000000000001000000010000000000000000000000100000000000000010000000000000000000000000000000000010000000000010010000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000010000010001100000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000001000000000000001000000000000000000000000000000000001000001000000000000000000000000010000000000000000010000000100000000000000000000000000000000010000000000000000010000000000000000000010010000000000000000000000000000000000000000000000
