i,j,tanimoto
mol500,mol876,0.1875
mol500,mol877,0.1111111111111111
mol500,mol878,0.12
mol500,mol879,0.11428571428571428
mol500,mol880,0.2112676056338028
mol500,mol881,0.11764705882352941
mol500,mol882,0.17721518987341772
mol500,mol883,0.11363636363636363
mol500,mol884,0.16129032258064516
mol500,mol885,0.25757575757575757
mol500,mol886,0.15
mol500,mol887,0.09859154929577464
mol500,mol888,0.25806451612903225
mol500,mol889,0.16279069767441862
mol500,mol890,0.25675675675675674
mol500,mol891,0.11842105263157894
mol500,mol892,0.2
mol500,mol893,0.12359550561797752
mol500,mol894,0.1643835616438356
mol500,mol895,0.17567567567567569
mol500,mol896,0.125
mol500,mol897,0.14772727272727273
mol500,mol898,0.25396825396825395
mol500,mol899,0.16
mol500,mol900,0.15789473684210525
mol500,mol901,0.13636363636363635
mol500,mol902,0.10144927536231885
mol500,mol903,0.21518987341772153
mol500,mol904,0.25
mol500,mol905,0.14705882352941177
mol500,mol906,0.125
mol500,mol907,0.16923076923076924
mol500,mol908,0.14473684210526316
mol500,mol909,0.16417910447761194
mol500,mol910,0.13829787234042554
mol500,mol911,0.203125
mol500,mol912,0.20833333333333334
mol500,mol913,0.18571428571428572
mol500,mol914,0.16666666666666666
mol500,mol915,0.2112676056338028
mol500,mol916,0.19298245614035087
mol500,mol917,0.2
mol500,mol918,0.21518987341772153
mol500,mol919,0.1388888888888889
mol500,mol920,0.18181818181818182
mol500,mol921,0.14285714285714285
mol500,mol922,0.16666666666666666
mol500,mol923,0.17567567567567569
mol500,mol924,0.19696969696969696
mol500,mol925,0.2727272727272727
mol500,mol926,0.19047619047619047
mol500,mol927,0.19230769230769232
mol500,mol928,0.5454545454545454
mol500,mol929,0.18461538461538463
mol500,mol930,0.4909090909090909
mol500,mol931,0.1076923076923077
mol500,mol932,0.5272727272727272
mol500,mol933,0.16666666666666666
mol500,mol934,0.22972972972972974
mol500,mol935,0.17105263157894737
mol500,mol936,0.18181818181818182
mol500,mol937,0.10810810810810811
mol500,mol938,0.21621621621621623
mol500,mol939,0.2054794520547945
mol500,mol940,0.225
mol500,mol941,0.15217391304347827
mol500,mol942,0.2
mol500,mol943,0.23809523809523808
mol500,mol944,0.18518518518518517
mol500,mol945,0.11842105263157894
mol500,mol946,0.20833333333333334
mol500,mol947,0.20481927710843373
mol500,mol948,0.16049382716049382
mol500,mol949,0.25
mol500,mol950,0.1891891891891892
mol500,mol951,0.16393442622950818
mol500,mol952,0.20512820512820512
mol500,mol953,0.16417910447761194
mol500,mol954,0.19230769230769232
mol500,mol955,0.22033898305084745
mol500,mol956,0.14606741573033707
mol500,mol957,0.13953488372093023
mol500,mol958,0.171875
mol500,mol959,0.16901408450704225
mol500,mol960,0.1875
mol500,mol961,0.1794871794871795
mol500,mol962,0.17721518987341772
mol500,mol963,0.14473684210526316
mol500,mol964,0.19736842105263158
mol500,mol965,0.21428571428571427
mol500,mol966,0.16049382716049382
mol500,mol967,0.1125
mol500,mol968,0.1506849315068493
mol500,mol969,0.09195402298850575
mol500,mol970,0.18181818181818182
mol500,mol971,0.13580246913580246
mol500,mol972,0.17105263157894737
mol500,mol973,0.17567567567567569
mol500,mol974,0.21428571428571427
mol500,mol975,0.09302325581395349
mol500,mol976,0.14754098360655737
mol500,mol977,0.1511627906976744
mol500,mol978,0.2638888888888889
mol500,mol979,0.10714285714285714
mol500,mol980,0.0875
mol500,mol981,0.0958904109589041
mol500,mol982,0.15
mol500,mol983,0.10256410256410256
mol500,mol984,0.11458333333333333
mol500,mol985,0.23880597014925373
mol500,mol986,0.34545454545454546
mol500,mol987,0.10294117647058823
mol500,mol988,0.2318840579710145
mol500,mol989,0.265625
mol500,mol990,0.14942528735632185
mol500,mol991,0.21212121212121213
mol500,mol992,0.14285714285714285
mol500,mol993,0.11842105263157894
mol500,mol994,0.20238095238095238
mol500,mol995,0.13432835820895522
mol500,mol996,0.20987654320987653
mol500,mol997,0.16455696202531644
mol500,mol998,0.2727272727272727
mol500,mol999,0.1724137931034483
mol500,mol1000,0.16455696202531644
mol501,mol502,0.09090909090909091
mol501,mol503,0.22058823529411764
mol501,mol504,0.16470588235294117
mol501,mol505,0.11235955056179775
mol501,mol506,0.16883116883116883
mol501,mol507,0.13793103448275862
mol501,mol508,0.09411764705882353
mol501,mol509,0.16216216216216217
mol501,mol510,0.11538461538461539
mol501,mol511,0.08860759493670886
mol501,mol512,0.14102564102564102
mol501,mol513,0.1111111111111111
mol501,mol514,0.2
mol501,mol515,0.11688311688311688
mol501,mol516,0.18181818181818182
mol501,mol517,0.07462686567164178
mol501,mol518,0.16901408450704225
mol501,mol519,0.1038961038961039
mol501,mol520,0.11578947368421053
mol501,mol521,0.06944444444444445
mol501,mol522,0.07142857142857142
mol501,mol523,0.18309859154929578
mol501,mol524,0.12162162162162163
mol501,mol525,0.17391304347826086
mol501,mol526,0.12
mol501,mol527,0.17333333333333334
mol501,mol528,0.21428571428571427
mol501,mol529,0.16883116883116883
mol501,mol530,0.1388888888888889
mol501,mol531,0.14102564102564102
mol501,mol532,0.14942528735632185
mol501,mol533,0.10294117647058823
mol501,mol534,0.140625
mol501,mol535,0.13513513513513514
mol501,mol536,0.1111111111111111
mol501,mol537,0.1267605633802817
mol501,mol538,0.12162162162162163
mol501,mol539,0.17333333333333334
mol501,mol540,0.125
mol501,mol541,0.11494252873563218
mol501,mol542,0.10810810810810811
mol501,mol543,0.14473684210526316
mol501,mol544,0.14102564102564102
mol501,mol545,0.14705882352941177
mol501,mol546,0.11688311688311688
mol501,mol547,0.25925925925925924
mol501,mol548,0.1282051282051282
mol501,mol549,0.10256410256410256
mol501,mol550,0.1388888888888889
mol501,mol551,0.1368421052631579
mol501,mol552,0.13924050632911392
mol501,mol553,0.10344827586206896
mol501,mol554,0.15625
